Designator,Mid X,Mid Y,Rotation,Layer
4017,155.0,-118.0,0.0,top
C1,144.0,-122.0,270.0,top
C2,144.0,-113.0,90.0,top
D1,120.73,-68.6,0.0,top
D2,137.73,-68.6,0.0,top
D3,154.73,-68.6,0.0,top
D4,171.73,-68.6,0.0,top
D5,145.97,-83.4,0.0,top
D6,121.23,-97.8,0.0,top
D7,138.23,-97.8,0.0,top
D8,155.23,-97.8,0.0,top
D9,172.23,-97.8,0.0,top
J1,123.0,-119.325,0.0,top
J2,123.0,-113.73,180.0,top
J3,116.6,-115.925,270.0,top
NE555P,134.005,-116.73,0.0,top
R1 1K,167.96,-116.93,270.0,top
R2 470,162.96,-116.93,270.0,top
RV1,172.75,-116.33,90.0,top
